profile,seed,end,cycles,score,alive,deaths,drown,storm,built,lost,produced,relics,cards,min_satiety,min_warmth,min_mood,low_satiety_pct,low_warmth_pct,low_mood_pct,zero_satiety,zero_warmth,zero_mood,sick_pct,wet_pct,idle_pct,deepest_mark,storm_min_mark,storm_below,storm_wet_band,storm_damaged,storm_buildings,cargo,survivor_points,creatures,damage,stolen,flooded_storages,rations,catch,scrap,kelp,driftwood,got_scrap,got_catch,got_kelp,got_salt,got_water,wreck5,wreck6
gatherer,40595,ship,12,45,7,0,0,0,2,0,14,0,full_moon|long_breath|deep_dive|deep_dive|long_breath|deep_dive|long_breath|fast_haul|deep_dive|fast_haul|travel_light|careful,0,0,20,11.39,31.85,1.28,107,1333,0,5.66,2.07,56.54,-4,2.00,0,1,2,6,10,35,6,0,0,1,0,0,44,20,0,50,91,32,56,40,0,0
gatherer,48514,ship,12,61,7,0,0,0,2,0,14,0,long_breath|travel_light|travel_light|fast_haul|deep_dive|fast_haul|deep_dive|muffled_bell|long_breath|careful|muffled_bell|deep_dive,0,0,30,37.92,27.43,0.00,5307,1894,0,8.27,0.00,65.26,-4,3.00,0,0,2,6,26,35,6,0,0,0,0,0,48,18,0,44,73,26,46,31,0,0
gatherer,56433,ship,12,60,6,3,0,3,2,0,14,0,fast_haul|deep_dive|deep_dive|deep_dive|travel_light|the_dash|the_dash|deep_dive|careful|muffled_bell|deep_dive|deep_dive,0,0,0,21.58,20.62,16.43,2119,832,1466,3.79,0.34,57.54,-4,2.00,0,1,2,6,30,30,6,0,0,0,0,0,40,18,0,45,88,28,52,44,0,0
gatherer,64352,ship,12,67,8,0,0,0,3,0,14,0,deep_dive|deep_dive|the_dash|muffled_bell|deep_dive|careful|long_breath|muffled_bell|travel_light|travel_light|fast_haul|deep_dive,0,11,70,17.59,9.82,0.00,910,0,0,0.00,1.92,64.62,-5,2.00,0,6,3,7,27,40,6,0,0,0,0,0,38,16,0,56,77,40,44,30,0,0
gatherer,72271,ship,12,30,6,1,0,1,2,0,14,0,long_breath|long_breath|deep_dive|the_dash|sea_loan|full_moon|travel_light|the_dash|travel_light|full_moon|deep_dive|full_moon,0,0,0,17.21,25.00,19.88,831,1194,2276,5.32,2.33,58.91,-4,1.02,0,3,2,6,0,30,6,0,0,1,0,0,48,16,0,44,89,28,49,43,0,0
gatherer,80190,ship,12,50,10,0,0,0,3,0,14,0,deep_dive|deep_dive|muffled_bell|the_dash|long_breath|deep_dive|deep_dive|sea_loan|deep_dive|muffled_bell|the_dash|deep_dive,0,0,40,36.65,16.78,0.00,5580,655,0,2.38,0.27,58.30,-5,1.60,0,1,3,7,0,50,6,0,0,1,0,0,52,18,0,59,90,37,50,44,4,0
gatherer,88109,ship,12,35,7,0,0,0,2,0,14,0,deep_dive|the_dash|careful|fast_haul|careful|full_moon|careful|deep_dive|travel_light|deep_dive|long_breath|the_dash,6,22,40,2.95,2.22,0.00,0,0,0,0.00,0.70,50.56,-4,2.00,0,2,2,6,0,35,6,0,0,1,0,0,37,18,0,49,91,32,54,36,0,0
gatherer,96028,ship,12,25,5,1,0,1,2,0,14,0,sea_loan|deep_dive|deep_dive|muffled_bell|deep_dive|the_dash|long_breath|full_moon|fast_haul|deep_dive|sea_loan|travel_light,44,0,0,0.00,19.38,11.74,0,1061,796,5.27,0.75,54.59,-4,2.00,0,2,2,6,0,25,6,0,0,1,0,0,40,20,0,44,84,30,52,16,0,0
gatherer,103947,ship,12,70,8,0,0,0,2,0,14,0,long_breath|long_breath|fast_haul|fast_haul|travel_light|long_breath|long_breath|deep_dive|careful|fast_haul|deep_dive|careful,35,0,14,0.00,18.14,2.57,0,949,0,3.82,0.60,56.75,-4,2.00,0,2,2,6,30,40,6,0,0,0,0,0,40,10,0,50,96,32,56,40,0,0
gatherer,111866,ship,12,52,6,1,0,1,3,0,14,0,deep_dive|deep_dive|sea_loan|fast_haul|the_dash|deep_dive|deep_dive|deep_dive|deep_dive|deep_dive|careful|fast_haul,0,0,15,9.21,27.20,18.78,246,150,0,1.03,1.19,49.39,-5,2.78,0,0,3,7,22,30,6,0,0,1,0,0,43,20,0,47,92,31,53,44,4,0
